ID,SAMPLE,ecotype_id,pop_code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1_10,TOU-A1-10,71001,TOUA1,-3.6301625003049316,-1.914426970919861,-1.2196925599385482,-0.7257616308989361,-0.5492649906192738,1.6862905969502746,-0.21961062168707976,0.3520503635665164
1_105,TOU-A1-105,71002,TOUA1,-0.9654120197389258,0.8385382325331184,-0.16082766385664096,2.8925360219924805,1.075665999461442,-2.2599828918685376,-0.4658402764873366,0.16373125984815348
1_106,TOU-A1-106,71003,TOUA1,-2.083108498481144,-3.898548586143672,0.28284118551327697,2.3066457236553006,0.7060399993123042,-0.4346015358247466,0.5227087506362462,0.646185414992194
1_109,TOU-A1-109,71004,TOUA1,-0.3889261207576501,-0.39543374437224166,-1.0454125940524863,0.1564489739102955,1.0977057209780015,-3.146394234234524,-0.006015428337658308,1.524852492685519
1_110,TOU-A1-110,71005,TOUA1,1.3066987655451685,2.74811305091981,-1.2955888744443773,-0.5735089802882513,1.7683068511556281,0.21797905020877748,1.2054581506898507,-1.6003597714719198
1_111,TOU-A1-111,71006,TOUA1,-3.1992747036419154,-1.1805486762932447,1.345762132365164,-0.9519028890271869,0.1358585284876083,-1.0325272817558784,-1.5999891191875701,0.7824303011995971
1_112,TOU-A1-112,71007,TOUA1,4.552484654607558,1.5260832599983702,-0.7214274656927007,-1.3288682433792194,3.2425929069487496,2.2254143894719847,0.35976994050722233,-1.47171475494781
1_114,TOU-A1-114,71009,TOUA1,-1.0949429709297245,1.1048156497014894,0.907242443338762,2.227223958545386,0.728512402427943,0.22154164712929036,-0.9117301928643351,0.5447540758674583
1_115,TOU-A1-115,71010,TOUA1,-2.2326488841172543,-0.8772131231302036,2.8275406105360985,0.15131735452276548,2.3172443152996336,-2.372936438362361,0.6134258759447596,1.718447946215452
1_116,TOU-A1-116,71011,TOUA1,0.8733612115131085,-0.48093186839567814,2.860760596509459,-1.3256991455035625,0.02462308337493739,0.24807223962129774,2.226045971140476,1.4546270016936538
1_117,TOU-A1-117,71012,TOUA1,0.30023312619807174,1.1096376852055623,-0.6992081854320086,0.8492899716528797,-0.7464348877132003,0.2557416141759765,3.4172774333015377,1.4050005781709316
1_118,TOU-A1-118,71013,TOUA1,0.1778555905583436,3.6519994937664513,-0.7599136655585579,-0.22675934393676186,1.7544795622307212,-0.7240670259822303,2.0951394102137044,-1.9254382036119846
1_119,TOU-A1-119,71014,TOUA1,2.649744285766695,2.0446433889693276,-1.9680591823427622,-1.5030264445972876,1.3145538677529585,-1.8489012146177264,1.3397014004193433,-0.760184475277557
1_12,TOU-A1-12,71015,TOUA1,-2.7892813817780593,-0.9647947964596185,-1.3101422241250247,0.1113425598668633,-0.7651355789662845,3.24074753749125,-0.10573603704853574,0.2780332340253452
1_120,TOU-A1-120,71016,TOUA1,1.513893034456602,-0.9120298431178508,-0.4364056425936716,-1.3892969583305317,3.4632062485566344,-0.24960013916963564,0.852801663499312,-0.49927531899791333
1_122,TOU-A1-122,71017,TOUA1,-2.193458656687278,2.4151423895105193,0.5827637552997708,-0.6405253168016958,0.7876039989051326,-0.5492000219950474,-2.392681300028599,-0.01184545340942722
