trait,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
major-gsl.IM.blup,0.2192296324416167,0.10382335013811572,-0.07172452582007256,-0.09708043001336934,0.15556861278449385,0.018973998270454574,-0.01036496448324597,0.14385488496851861
major-gsl.1moIM.blup,0.10576586443089488,0.05372484405385023,-0.10451765234983669,0.05052987689462357,-0.08704345298921463,0.12911423233787728,-0.19462382510666093,0.28214178855648026
major-gsl.4moIM.blup,0.21085844246228816,-0.015895745153387337,-0.010177220314394133,0.16477302578295883,0.00968195013790804,-0.0810548028896219,-0.09020197722049794,0.09311757352647418
minor-gsl.7mSh.blup,0.22053004679640512,-0.04534196732615368,0.033323612333235726,-0.07795615356371464,0.2518427436768519,-0.18553459985878212,-0.12407185409052462,-0.22231342260027473
minor-gsl.8MTO.blup,0.20391798199656003,-0.09194211827854516,0.04470615211903743,-0.12972049689741483,0.22682316710053088,-0.2828504404602202,-0.17234573914502485,-0.21128871738852573
minor-gsl.3mSOp.blup,-0.05762427314034267,-0.14399441533072246,0.022915981907946314,0.17376801795761124,0.22893988248992816,-0.18260745016303606,-0.29660206556053376,0.2711782015280122
minor-gsl.4mSOb.blup,0.21222477010405622,-0.07474911728421188,0.15701668366062294,-0.03089611559951135,-0.1095413934977769,-0.19590920594210026,-0.061299439718264646,-0.16455292922040185
minor-gsl.5mSOp.blup,0.2790638517837012,0.012940338600009727,0.18617471044521966,-0.012503949726138198,-0.15869257654232224,0.020745299094389297,0.06186076931163986,-0.053835250204229565
minor-gsl.6mSOh.blup,0.2475394253303426,0.10896293306710701,0.05074130226273727,-0.010689877642809122,0.14889828872630548,0.08124993686176545,-0.11267691062002888,0.03442415617862982
minor-gsl.7mSOh.blup,0.2339055380593772,0.11278551639652795,0.033697175736864905,-0.06858489615193734,0.20380528580210222,0.12521521721837564,-0.1491084528033691,0.19168680094919555
minor-gsl.Peen.blup,0.2649065142207602,0.1524398244970913,0.12605826486208901,0.0016936512213900803,-0.1510448526756271,0.22377633962998558,0.13050387957214893,0.033244584083708416
minor-gsl.2hPeen.blup,0.2562752504865495,0.1102065758160183,-0.02757460611736661,0.001101707566057462,-0.08299917118940293,0.302054688344414,0.06221238615646794,0.12114729593839904
minor-gsl.1hIM.blup,0.14323452141202256,-0.023659539133719047,-0.19915962148215166,-0.14159440245159846,0.08288814778718497,-0.028570456901737238,-0.004237999414890692,-0.03389581279644546
gsl.mass.blup,-0.1643192900794927,0.19260548405370365,0.2141387658161393,-0.0028974956208371342,-0.09415465012560127,0.07836225190963225,-0.08669120886831781,0.10468371040294666
