Trait,PVE_median,PVE_2.5,PVE_97.5,PGE_median,PGE_2.5,PGE_97.5,n_gamma_median,n_snps_PIP_gt_0.01
PC1,0.8223086,0.7423854,0.8865324474999998,0.58580125,0.2783588,0.9322121,21.0,313
PC2,0.7439157,0.6535232,0.8230164,0.52286805,0.006439665550000007,0.9722801775,44.0,958
PC3,0.7698432,0.6930057,0.8334381,0.4390164,0.0,0.9745188,28.0,684
PC4,0.616069,0.4981473,0.7283883425,0.2120639,0.0,0.8125084699999995,18.0,127
PC5,0.5864757,0.47217077500000004,0.69193394,0.7416668500000001,0.2576845125000001,0.9899427574999999,23.0,200
PC6,0.7512559000000001,0.6513412,0.83628395,0.4110333,0.013007871750000002,0.9272680624999999,44.0,399
PC7,0.5664012,0.39806123250000003,0.7185544375,0.26329634999999996,0.0,0.8008014699999997,14.0,10
PC8,0.4714332,0.32860907,0.6123816,0.23805305,0.0,0.9004745,21.0,29
